;year;language;geonames_name;geonames_country;geonames_id;geonames_lat;geonames_lng;weight;country_codes;germany;map_year;region_country_name;pozn.
9432;1860;ger;Litomyťl;Czechia;3071675;49.86809;16.31298;1.0;CZE;;1815;Czech Republic;
20057;1860;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
6543;1860;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
9418;1860;eng;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
9463;1860;ger;Litomyťl;Czechia;3071675;49.86809;16.31298;1.0;CZE;;1815;Czech Republic;
9451;1860;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
9425;1861;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
9445;1861;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
9452;1861;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
15296;1862;slv;Klagenfurt;Austria;2774326;46.62472;14.30528;1.0;AUT;;1815;Austria;
21221;1862;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
21222;1862;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
21997;1862;ger;Litomyťl;Czechia;3071675;49.86809;16.31298;0.5;CZE;;1815;Czech Republic;
21996;1862;ger;Prague;Czechia;3067696;50.08804;14.42076;0.5;CZE;;1815;Czech Republic;
19707;1862;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
19708;1862;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
24228;1862;ger;Litomyťl;Czechia;3071675;49.86809;16.31298;0.5;CZE;;1815;Czech Republic;
18849;1862;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
24227;1862;ger;Prague;Czechia;3067696;50.08804;14.42076;0.5;CZE;;1815;Czech Republic;
15049;1862;che;Litomyťl;Czechia;3071675;49.86809;16.31298;1.0;CZE;;1815;Czech Republic;
16466;1863;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16458;1863;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
15152;1863;hrv;Zagreb;Croatia;3186886;45.81444;15.97798;1.0;HRV;;1815;Croatia;
16448;1863;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16457;1863;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
15453;1864;ukr;Lviv;Ukraine;702550;49.83826;24.02324;1.0;UKR;;1815;Ukraine;
15451;1864;slv;Klagenfurt;Austria;2774326;46.62472;14.30528;1.0;AUT;;1815;Austria;
14182;1865;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
14211;1865;sla;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16491;1865;sla;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
25718;1865;rus;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
3938;1866;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
14200;1866;ita;Bologna;Italy;3181928;44.49381;11.33875;1.0;ITA;;1815;Italy;
10085;1866;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
13862;1867;slv;Ljubljana;Slovenia;3196359;46.05108;14.50513;1.0;SVN;;1815;Slovenia;
18368;1867;slv;Ljubljana;Slovenia;3196359;46.05108;14.50513;1.0;SVN;;1815;Slovenia;
18734;1869;ger;Hradec KrålovÊ;Czechia;3074967;50.20923;15.83277;1.0;CZE;;1815;Czech Republic;
14188;1869;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
10252;1869;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
14208;1870;rus;St Petersburg;Russia;498817;59.93863;30.31413;1.0;RUS;;1815;Russia;
9454;1870;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
9430;1870;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
20702;1870;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
10789;1870;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
20911;1870;rus;St Petersburg;Russia;498817;59.93863;30.31413;1.0;RUS;;1815;Russia;
9441;1870;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
15204;1871;rus;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
15438;1871;slv;Ljubljana;Slovenia;3196359;46.05108;14.50513;1.0;SVN;;1815;Slovenia;
10253;1871;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
9450;1872;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16483;1872;rus;St Petersburg;Russia;498817;59.93863;30.31413;1.0;RUS;;1815;Russia;
18795;1872;rus;Warsaw;Poland;756135;52.22977;21.01178;1.0;POL;;1815;Poland;
16481;1872;rus;St Petersburg;Russia;498817;59.93863;30.31413;1.0;RUS;;1815;Russia;
10094;1872;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
15787;1873;pol;Lviv;Ukraine;702550;49.83826;24.02324;1.0;UKR;;1815;Ukraine;
