,year,geonames_name,geonames_country,geonames_id,geonames_lat,geonames_lng,weight,country_codes,map_year,historical_coutry_name
24230,1856,Prague,Czechia,3067696,50.08804,14.42076,0.5,CZE,1815,Austrian Empire
6542,1856,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
20693,1857,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
6540,1857,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
15441,1857,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
10256,1857,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
15412,1857,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
18796,1857,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16480,1857,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9436,1857,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
20696,1857,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
9455,1857,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
24231,1857,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
18358,1858,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
14170,1858,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
20909,1858,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9437,1858,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9447,1858,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
9462,1858,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
14185,1858,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9435,1859,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
25385,1859,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
20701,1859,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
25386,1859,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
18794,1859,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16482,1859,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9427,1859,Leipzig,Germany,2879139,51.33962,12.37129,0.5,DEU,1815,Saxony
6541,1859,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16450,1859,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
20694,1859,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9426,1859,Prague,Czechia,3067696,50.08804,14.42076,0.5,CZE,1815,Austrian Empire
9428,1860,Litomyšl,Czechia,3071675,49.86809,16.31298,1.0,CZE,1815,Austrian Empire
21995,1860,Litomyšl,Czechia,3071675,49.86809,16.31298,1.0,CZE,1815,Austrian Empire
20699,1860,Litomyšl,Czechia,3071675,49.86809,16.31298,1.0,CZE,1815,Austrian Empire
20692,1860,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
9423,1860,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
14180,1860,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9446,1860,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
9444,1860,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9434,1860,Litomyšl,Czechia,3071675,49.86809,16.31298,1.0,CZE,1815,Austrian Empire
9432,1860,Litomyšl,Czechia,3071675,49.86809,16.31298,1.0,CZE,1815,Austrian Empire
20057,1860,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
6543,1860,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9418,1860,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9463,1860,Litomyšl,Czechia,3071675,49.86809,16.31298,1.0,CZE,1815,Austrian Empire
9451,1860,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
9425,1861,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
9445,1861,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
9452,1861,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
