,country,language,map_year,weights
251,Hungary,mad,1945,1.0
252,Switzerland,fre,1945,3.5
253,Germany (Soviet),srp,1945,1.0
254,Greece,gre,1945,1.0
255,Czechoslovakia,swe,1945,1.0
256,USSR,fin,1945,1.0
257,Yugoslavia,bos,1945,1.0
258,USSR,chm,1945,1.0
259,Norway,swe,1945,1.0
260,Netherlands,ger,1945,0.5
261,Belgium,ger,1945,0.5
262,Cuba,spa,1945,1.0
263,USSR,bel,1945,1.0
264,Czechoslovakia,chv,1945,1.0
265,Sri Lanka,eng,1945,1.0
266,Czechoslovakia,eng,1956,97.49999999999999
267,Czechoslovakia,dut,1956,10.0
268,Germany (Soviet),ger,1956,138.5
269,China,chi,1956,38.0
270,Czechoslovakia,slo,1956,372.0
271,Czechoslovakia,ger,1956,280.33333333333337
272,Czechoslovakia,hun,1956,126.5
273,Poland,pol,1956,174.5
274,Czechoslovakia,chv,1956,1.0
275,Norway,dan,1956,1.0
276,Hungary,hun,1956,136.5
277,Bulgaria,bul,1956,18.0
278,United Kingdom,ger,1956,2.0
279,France,fre,1956,74.0
280,USSR,rus,1956,202.0
281,Czechoslovakia,por,1956,2.0
282,Spain,spa,1956,10.5
283,Romania,rum,1956,35.0
284,Albania,alb,1956,7.0
285,Czechoslovakia,fre,1956,72.5
286,Yugoslavia,slv,1956,45.5
287,Yugoslavia,hrv,1956,47.0
288,Germany (USA),ger,1956,11.833333333333334
289,Czechoslovakia,cre,1956,1.0
290,Austria,ger,1956,33.53333333333333
291,Italy,ita,1956,30.5
292,Finland,fin,1956,17.5
293,USSR,geo,1956,2.0
294,United States,ukr,1956,1.0
295,Italy,fre,1956,5.0
296,Switzerland,ger,1956,12.783333333333331
297,Czechoslovakia,pol,1956,30.5
298,Czechoslovakia,rus,1956,21.0
299,Czechoslovakia,slv,1956,4.5
300,Czechoslovakia,ukr,1956,9.0
301,India,tel,1956,2.0
302,Germany (UK),ger,1956,9.250000000000002
303,Hungary,ger,1956,1.0
304,Germany (Soviet),srp,1956,1.0
305,Germany (Soviet),wen,1956,7.0
306,USSR,lit,1956,9.0
307,Korea (USSR),kor,1956,2.0
308,Czechoslovakia,hrv,1956,14.0
309,Czechoslovakia,rum,1956,1.0
310,United Kingdom,eng,1956,119.08333333333333
311,Japan (USA),jpn,1956,3.0
312,Netherlands,dut,1956,37.5
313,Indonesia,ind,1956,1.0
314,USSR,lav,1956,6.0
315,United States,eng,1956,40.166666666666664
316,Sweden,dan,1956,1.0
317,Japan (USA),eng,1956,0.5
318,Lebanon,arm,1956,2.0
319,Czechoslovakia,epo,1956,8.0
320,Belgium,dut,1956,1.0
321,USSR,tat,1956,1.0
322,Denmark,dan,1956,15.0
323,Australia,eng,1956,1.0833333333333333
324,Slovenia,slv,1956,2.0
325,Argentina,spa,1956,4.0
326,Sweden,swe,1956,18.5
327,Germany (USA),eng,1956,1.0
328,Norway,nor,1956,4.0
329,Hungary,spa,1956,2.0
330,Brazil,spa,1956,1.0
331,Brazil,por,1956,6.0
332,USSR,ukr,1956,26.0
333,Netherlands,eng,1956,1.3333333333333333
334,Germany (UK),eng,1956,0.5
335,Austria,eng,1956,5.0
336,USSR,est,1956,13.0
337,Germany (Soviet),hun,1956,2.0
338,Czechoslovakia,wen,1956,5.0
339,Switzerland,fre,1956,7.5
340,Iran,per,1956,3.0
341,Israel,heb,1956,12.0
342,United States,ger,1956,0.25
343,Czechoslovakia,ita,1956,5.5
344,Belgium,fre,1956,4.0
345,Netherlands,fre,1956,1.0
346,Yugoslavia,eng,1956,1.0
347,USSR,tgk,1956,1.0
348,Yugoslavia,srp,1956,14.0
349,France,eng,1956,1.3333333333333333
350,Czechoslovakia,spa,1956,13.0
351,USSR,kir,1956,1.0
352,United States,fre,1956,1.0
353,New Zealand,eng,1956,1.5
354,USSR,aze,1956,5.0
355,Poland,eng,1956,2.0
356,Germany (France),ger,1956,0.3333333333333333
357,East Germany,ger,1956,235.00000000000009
358,West Germany,ger,1956,119.68333333333334
359,Bulgaria,tur,1956,1.0
360,Czechoslovakia,ice,1956,1.0
361,Czechoslovakia,alb,1956,1.0
362,East Germany,wen,1956,7.0
363,Yugoslavia,epo,1956,1.0
364,Japan,jpn,1956,7.0
365,Czechoslovakia,fin,1956,0.5
366,Sweden,ger,1956,1.0
367,Czechoslovakia,vie,1956,1.0
368,Yugoslavia,mac,1956,1.0
369,Egypt,ara,1956,3.0
370,Vietnam,vie,1956,4.0
371,USSR,sla,1956,2.0
372,USSR,uzb,1956,1.0
373,Norway,epo,1956,0.5
374,Denmark,epo,1956,0.5
375,Portugal,por,1956,5.0
376,East Germany,eng,1956,2.333333333333333
377,West Germany,eng,1956,2.6666666666666665
378,Greece,gre,1956,1.5
379,Italy,eng,1956,2.0
380,East Germany,fre,1956,1.0
381,Cuba,spa,1956,2.0
382,United Kingdom,spa,1956,3.0
383,USSR,kaz,1956,1.0
384,Netherlands,fry,1956,1.0
385,Turkey,tur,1956,5.0
386,Romania,rus,1956,1.0
387,Mexico,spa,1956,10.5
388,Romania,hun,1956,1.0
389,United States,slo,1956,1.0
390,USSR,pol,1956,1.0
391,Sweden,rus,1956,1.0
392,United States,rus,1956,1.0
393,East Germany,pol,1956,2.0
394,West Germany,swe,1956,1.0
395,USSR,eng,1956,1.25
396,Canada,eng,1956,3.75
397,USSR,rum,1956,3.0
398,Czechoslovakia,swe,1956,0.5
399,USSR,slo,1956,1.0
400,Czechoslovakia,gre,1956,0.5
401,India,mal,1956,1.0
402,United Kingdom,fre,1956,1.0
403,USSR,srp,1956,1.0
404,Netherlands,epo,1956,1.0
405,Yugoslavia,alb,1956,1.0
406,Germany,ger,1956,0.5
407,Spain,epo,1956,1.0
408,Mongolia,mon,1956,3.0
409,Yugoslavia,bos,1956,1.0
410,France,cat,1956,1.0
411,Greece,ger,1956,0.5
412,Czechoslovakia,jpn,1956,1.0
413,"Korea, Republic of",kor,1956,1.0
414,Italy,slv,1956,1.0
415,USSR,arm,1956,1.0
416,France,dut,1956,0.5
417,Czechoslovakia,bul,1956,1.0
418,Italy,ger,1956,0.5
419,Liechtenstein,rus,1956,3.0
420,USSR,fre,1956,1.0
421,India,hin,1956,2.0
422,United States,lav,1956,1.0
423,Czechoslovakia,sla,1956,1.0
424,Iran,per,1967,3.0
425,East Germany,ger,1967,253.3412698412699
426,Czechoslovakia,hun,1967,102.0
427,Czechoslovakia,ger,1967,106.83333333333333
428,Romania,rum,1967,29.0
429,United Kingdom,eng,1967,112.49999999999994
430,Czechoslovakia,eng,1967,43.166666666666664
431,Hungary,hun,1967,122.5
432,West Germany,ger,1967,426.445238095238
433,Czechoslovakia,slo,1967,194.5
434,Czechoslovakia,fre,1967,21.5
435,Canada,fre,1967,3.0
436,Switzerland,ger,1967,83.59285714285714
437,Austria,ger,1967,43.95396825396824
438,USSR,rus,1967,108.0
439,United States,eng,1967,149.75
440,Denmark,dan,1967,42.0
441,France,fre,1967,169.5
442,Switzerland,fre,1967,12.5
443,Poland,pol,1967,145.0
444,Yugoslavia,slo,1967,2.0
445,USSR,ukr,1967,23.0
446,Czechoslovakia,pol,1967,29.0
447,Yugoslavia,srp,1967,15.0
448,Yugoslavia,slv,1967,48.0
449,USSR,est,1967,11.0
450,USSR,tuk,1967,2.0
451,Czechoslovakia,epo,1967,6.0
452,Mexico,spa,1967,13.0
453,Netherlands,dut,1967,50.5
454,Canada,eng,1967,17.916666666666664
455,Italy,ita,1967,73.0
456,Finland,fin,1967,21.999999999999996
457,Brazil,por,1967,3.0
458,Belgium,fre,1967,13.0
459,Czechoslovakia,spa,1967,7.5
460,Czechoslovakia,rus,1967,18.0
461,Yugoslavia,hrv,1967,18.0
462,USSR,kaz,1967,4.0
463,Israel,heb,1967,10.0
464,USSR,arm,1967,4.0
465,Sweden,swe,1967,40.99999999999999
466,USSR,lit,1967,12.0
467,Yugoslavia,mac,1967,5.0
468,Italy,fre,1967,5.0
469,Pakistan,urd,1967,1.0
470,India,tel,1967,2.0
471,Japan,jpn,1967,27.0
472,Czechoslovakia,ita,1967,6.0
473,Denmark,ice,1967,1.0
474,Yugoslavia,alb,1967,1.0
475,East Germany,hin,1967,1.0
476,France,eng,1967,1.3333333333333333
477,USSR,lav,1967,6.0
478,Norway,nor,1967,8.0
479,Norway,dan,1967,1.0
480,Turkey,tur,1967,11.0
481,Bulgaria,bul,1967,22.0
482,Australia,fre,1967,1.0
483,Spain,spa,1967,20.0
484,West Germany,eng,1967,4.0
485,Spain,ita,1967,1.0
486,Belgium,dut,1967,4.5
487,Czechoslovakia,rum,1967,1.0
488,Australia,eng,1967,5.0
489,Czechoslovakia,hrv,1967,6.0
490,Italy,eng,1967,3.0
491,Argentina,spa,1967,6.5
492,Switzerland,eng,1967,2.0
493,Japan,eng,1967,4.0
494,Czechoslovakia,ukr,1967,2.0
