,country,map_year,weights
266,Albania,2000,9.0
267,Finland,2000,26.0
268,Estonia,2000,4.0
269,Latvia,2000,8.0
270,Byelarus,2000,8.0
271,Switzerland ita,2011,114.5
272,Italy,2011,114.5
273,Poland,2011,296.0
274,West Germany,2011,444.49999999999983
275,East Germany,2011,444.49999999999983
276,Austria,2011,444.49999999999983
277,Switzerland ger,2011,444.49999999999983
278,Liechtenstein,2011,444.49999999999983
279,Spain,2011,140.58333333333334
280,Catalonia,2011,163.58333333333331
281,France,2011,197.5
282,Switzerland fre,2011,197.5
283,Belgium fre,2011,197.5
284,Monaco,2011,197.5
285,Luxembourg,2011,197.5
286,United Kingdom,2011,127.41666666666667
287,Ireland,2011,127.41666666666667
288,Hungary,2011,89.0
289,Slovakia,2011,37.0
290,Bulgaria,2011,78.0
291,Croatia,2011,99.5
292,Bosnia and Herzegovina,2011,99.5
293,Serbia,2011,99.5
294,Montenegro,2011,99.5
295,Belgium dut,2011,99.0
296,Netherlands,2011,99.0
297,Slovenia,2011,95.0
298,Ukraine,2011,30.0
299,Russia,2011,109.0
300,Denmark,2011,32.0
301,Norway,2011,30.0
302,Turkey,2011,11.0
303,Romania,2011,42.0
304,Moldova,2011,42.0
305,North Macedonia,2011,60.0
306,Sweden,2011,35.0
307,Portugal,2011,11.0
308,Estonia,2011,12.0
309,Albania,2011,11.0
310,Lithuania,2011,5.0
311,Finland,2011,1.0
312,Latvia,2011,19.0
313,Byelarus,2011,9.0
314,Greece,2011,8.0
